user_id,signup_date,city_tier,segment,preferred_device,acquisition_channel,last_active_date,lifetime_paid_months,engagement_band,tenure_days
U000001,2025-05-27,1,value,mobile,paid_social,2025-10-14,5,low,248
U000002,2025-11-15,1,regular,web,search,2026-01-30,2,medium,76
U000003,2025-10-16,1,regular,web,referral,2026-01-09,2,medium,106
U000004,2025-08-23,2,regular,web,referral,2026-01-29,5,high,160
U000005,2025-08-21,1,regular,mobile,organic,2026-01-29,5,high,162
U000006,2025-12-06,3,value,mobile,organic,2026-01-29,1,low,55
U000007,2025-05-26,3,value,mobile,organic,2026-01-26,7,medium,249
U000008,2025-10-27,3,value,web,organic,2026-01-29,3,low,95
U000009,2025-06-24,2,premium,web,search,2026-01-30,7,high,220
U000010,2025-05-28,3,value,web,organic,2026-01-28,7,medium,247
U000011,2025-09-14,1,premium,mobile,paid_social,2026-01-30,4,high,138
U000012,2026-01-04,2,value,web,organic,2026-01-25,1,low,26
U000013,2025-11-05,2,value,web,organic,2026-01-26,2,low,86
U000014,2025-11-12,3,value,mobile,paid_social,2026-01-09,2,low,79
U000015,2025-11-01,2,value,web,search,2025-12-29,2,low,90
U000016,2025-11-18,3,regular,mobile,search,2026-01-30,2,medium,73
U000017,2025-09-10,1,regular,web,referral,2026-01-30,3,high,142
U000018,2025-06-06,3,value,nan,email,2026-01-30,6,medium,238
U000019,2025-12-01,2,regular,web,search,2026-01-28,1,medium,60
U000020,2025-08-26,2,regular,web,organic,2026-01-30,5,medium,157
U000021,2025-09-07,3,premium,web,organic,2026-01-25,4,high,145
U000022,2025-08-06,2,premium,web,email,2026-01-30,5,high,177
U000023,2025-06-19,2,regular,mobile,paid_social,2025-11-16,5,medium,225
U000024,2025-12-23,2,regular,web,paid_social,2026-01-30,1,low,38
U000025,2025-11-17,1,regular,web,paid_social,2026-01-30,2,medium,74
U000026,2025-10-13,2,regular,mobile,organic,2025-12-12,2,medium,109
U000027,2025-08-14,1,regular,web,search,2025-11-10,3,medium,169
U000028,2025-11-27,1,value,mobile,referral,2025-12-31,0,low,64
U000029,2025-09-18,3,regular,mobile,referral,2026-01-30,4,high,134
U000030,2025-08-24,2,premium,web,organic,2026-01-30,5,high,159
U000031,2025-08-26,2,value,mobile,paid_social,2026-01-30,5,medium,157
U000032,2025-07-01,2,regular,web,organic,2025-11-21,5,high,213
U000033,2025-05-28,2,premium,web,email,,0,low,247
U000034,2025-09-21,2,value,web,organic,2025-12-21,3,low,131
U000035,2025-12-13,3,regular,mobile,paid_social,2026-01-25,1,low,48
U000036,2025-05-21,3,premium,mobile,organic,2025-08-25,2,medium,254
U000037,2025-12-06,2,premium,web,paid_social,2026-01-30,1,medium,55
U000038,2025-11-28,2,value,mobile,paid_social,2026-01-25,2,low,63
U000039,2025-07-13,2,value,web,organic,2026-01-30,6,medium,201
U000040,2025-10-10,2,regular,mobile,referral,2026-01-30,3,medium,112
U000041,2025-06-15,2,value,mobile,referral,2026-01-29,7,medium,229
U000042,2025-11-11,2,value,mobile,referral,2025-12-05,1,low,80
U000043,2025-10-27,2,value,mobile,organic,2026-01-29,3,medium,95
U000044,2025-08-01,2,value,mobile,paid_social,2025-08-22,1,low,182
U000045,2025-05-22,2,regular,web,search,2026-01-29,8,high,253
U000046,2026-01-03,2,regular,mobile,paid_social,2026-01-27,1,low,27
U000047,2025-08-24,1,regular,mobile,search,2026-01-29,5,high,159
U000048,2025-12-15,1,regular,mobile,paid_social,2026-01-18,1,low,46
U000049,2025-10-22,2,regular,web,organic,2026-01-29,3,medium,100
