user_id,avg_minutes_4w,last_week_minutes,payment_failures_4w,active_days_4w,usage_trend,signup_date,city_tier,segment,preferred_device,acquisition_channel,last_active_date,lifetime_paid_months,engagement_band,tenure_days,will_churn_14d,days_since_last_activity
U000001,0.0,0.0,0.0,6.6,,2025-05-27,1,value,mobile,paid_social,2025-10-14,5,low,248,0,104.0
U000002,90.362,53.22,0.0,6.4,0.5889643876850889,2025-11-15,1,regular,web,search,2026-01-30,2,medium,76,1,-4.0
U000003,59.382000000000005,0.0,0.0,6.6,0.0,2025-10-16,1,regular,web,referral,2026-01-09,2,medium,106,0,17.0
U000004,172.334,139.19,0.0,6.6,0.8076757923567026,2025-08-23,2,regular,web,referral,2026-01-29,5,high,160,1,-3.0
U000005,121.322,96.74,0.0,6.6,0.7973821730601209,2025-08-21,1,regular,mobile,organic,2026-01-29,5,high,162,1,-3.0
U000006,55.32000000000001,33.910000000000004,0.0,6.4,0.6129790310918294,2025-12-06,3,value,mobile,organic,2026-01-29,1,low,55,1,-3.0
U000007,58.605999999999995,18.84,0.0,6.6,0.32146879159130465,2025-05-26,3,value,mobile,organic,2026-01-26,7,medium,249,1,0.0
U000008,47.958,46.55,1.0,6.6,0.9706409775219984,2025-10-27,3,value,web,organic,2026-01-29,3,low,95,1,-3.0
U000009,201.376,90.28999999999999,0.0,6.6,0.4483652470999523,2025-06-24,2,premium,web,search,2026-01-30,7,high,220,1,-4.0
U000010,43.029999999999994,15.75,0.0,6.4,0.3660237043922845,2025-05-28,3,value,web,organic,2026-01-28,7,medium,247,1,-2.0
U000011,208.654,117.63,0.0,6.6,0.5637562663548267,2025-09-14,1,premium,mobile,paid_social,2026-01-30,4,high,138,1,-4.0
U000012,33.886,0.0,0.0,5.4,0.0,2026-01-04,2,value,web,organic,2026-01-25,1,low,26,1,1.0
U000013,58.864,64.25,0.0,6.4,1.0914990486545257,2025-11-05,2,value,web,organic,2026-01-26,2,low,86,1,0.0
U000014,19.27,0.0,0.0,6.4,0.0,2025-11-12,3,value,mobile,paid_social,2026-01-09,2,low,79,0,17.0
U000015,4.976,0.0,0.0,6.4,0.0,2025-11-01,2,value,web,search,2025-12-29,2,low,90,0,28.0
U000016,114.71399999999998,140.71,0.0,6.6,1.2266157574489602,2025-11-18,3,regular,mobile,search,2026-01-30,2,medium,73,1,-4.0
U000017,90.614,16.71,0.0,6.6,0.18440859028406206,2025-09-10,1,regular,web,referral,2026-01-30,3,high,142,1,-4.0
U000018,48.827999999999996,12.95,0.0,6.6,0.26521667895469814,2025-06-06,3,value,nan,email,2026-01-30,6,medium,238,1,-4.0
U000019,127.124,76.48,0.0,6.6,0.6016173185236463,2025-12-01,2,regular,web,search,2026-01-28,1,medium,60,1,-2.0
U000020,84.99199999999999,154.07999999999998,0.0,6.6,1.8128765060240963,2025-08-26,2,regular,web,organic,2026-01-30,5,medium,157,1,-4.0
U000021,159.88,0.0,0.0,6.6,0.0,2025-09-07,3,premium,web,organic,2026-01-25,4,high,145,1,1.0
U000022,192.226,39.2,0.0,6.4,0.20392662803158784,2025-08-06,2,premium,web,email,2026-01-30,5,high,177,1,-4.0
U000023,0.0,0.0,0.0,6.6,,2025-06-19,2,regular,mobile,paid_social,2025-11-16,5,medium,225,0,71.0
U000024,111.85799999999999,60.66,0.0,6.4,0.542294695059808,2025-12-23,2,regular,web,paid_social,2026-01-30,1,low,38,1,-4.0
U000025,114.638,55.36,0.0,6.2,0.4829114255308013,2025-11-17,1,regular,web,paid_social,2026-01-30,2,medium,74,1,-4.0
U000026,0.0,0.0,0.0,6.4,,2025-10-13,2,regular,mobile,organic,2025-12-12,2,medium,109,0,45.0
U000027,0.0,0.0,0.0,6.6,,2025-08-14,1,regular,web,search,2025-11-10,3,medium,169,0,77.0
U000028,5.752,0.0,0.0,6.6,0.0,2025-11-27,1,value,mobile,referral,2025-12-31,0,low,64,0,26.0
U000029,122.894,142.35,0.0,6.4,1.1583152961088417,2025-09-18,3,regular,mobile,referral,2026-01-30,4,high,134,1,-4.0
U000030,145.494,160.64,0.0,6.6,1.1041005127359202,2025-08-24,2,premium,web,organic,2026-01-30,5,high,159,1,-4.0
U000031,67.5,38.36,0.0,6.6,0.5682962962962963,2025-08-26,2,value,mobile,paid_social,2026-01-30,5,medium,157,1,-4.0
U000032,0.0,0.0,0.0,6.6,,2025-07-01,2,regular,web,organic,2025-11-21,5,high,213,0,66.0
U000033,0.0,0.0,0.0,6.4,,2025-05-28,2,premium,web,email,,0,low,247,0,
U000034,0.0,0.0,0.0,6.4,,2025-09-21,2,value,web,organic,2025-12-21,3,low,131,0,36.0
U000035,92.75999999999999,0.0,0.0,6.6,0.0,2025-12-13,3,regular,mobile,paid_social,2026-01-25,1,low,48,1,1.0
U000036,0.0,0.0,0.0,6.4,,2025-05-21,3,premium,mobile,organic,2025-08-25,2,medium,254,0,154.0
U000037,174.454,209.97,0.0,6.4,1.2035837527371112,2025-12-06,2,premium,web,paid_social,2026-01-30,1,medium,55,1,-4.0
U000038,22.336000000000002,0.0,0.0,6.4,0.0,2025-11-28,2,value,mobile,paid_social,2026-01-25,2,low,63,1,1.0
U000039,66.562,119.37,0.0,6.6,1.793365583966828,2025-07-13,2,value,web,organic,2026-01-30,6,medium,201,1,-4.0
U000040,109.86800000000001,44.59,0.0,6.6,0.405850657152219,2025-10-10,2,regular,mobile,referral,2026-01-30,3,medium,112,1,-4.0
U000041,78.354,73.27,0.0,6.6,0.9351149909385609,2025-06-15,2,value,mobile,referral,2026-01-29,7,medium,229,1,-3.0
U000042,0.0,0.0,0.0,6.4,,2025-11-11,2,value,mobile,referral,2025-12-05,1,low,80,0,52.0
U000043,78.86,41.95,1.0,6.6,0.5319553639360893,2025-10-27,2,value,mobile,organic,2026-01-29,3,medium,95,1,-3.0
U000044,0.0,0.0,0.0,6.4,,2025-08-01,2,value,mobile,paid_social,2025-08-22,1,low,182,0,157.0
